bank,appId,review_id,username,user_image,likes,review_created_version,created_at,reply_content,replied_at,app_version,score,comments,keywords,lda_category,sentiment,insight
Abyssinia Bank,com.boa.boaMobileBanking,1a501c27-19a2-4857-98cb-c0e42e8e068a,tinbite solomon,https://play-lh.googleusercontent.com/a/ACg8ocKn32230dBQOS9dbqCRYufBRUSIapg9ujhE2rXkZ_6UlN5FYQ=mo,2,24.04.23,2024-05-15 07:42:40,,,24.04.23,2,"I downloaded the app to test it, and i like the interface and all, but i couldn't pass the otp stage, i entered the otp sent to my sms, but when i verified, it says entered otp is wrong. Please fix that.",,,,
Abyssinia Bank,com.boa.boaMobileBanking,6775944a-1cd2-401c-b602-fcf071f7d480,Atinkut Worku,https://play-lh.googleusercontent.com/a/ACg8ocIVFUZekPxer8UiTGajsNB4wI2Bgy3mvnWZPqB2xGPvbWS-IA=mo,1,,2024-05-15 01:11:05,,,,4,Good,,,,
Abyssinia Bank,com.boa.boaMobileBanking,a809e404-f7e9-4d96-978b-40cb5e881765,Tsegab Karta,https://play-lh.googleusercontent.com/a/ACg8ocLD55dnecQMUjRQId3iBAKRGaGrciI1hZC21wuwJIjvN_601Q=mo,1,24.04.23,2024-05-15 00:59:43,,,24.04.23,1,"It already been one month since this trush application starts crushing and stop working properly, what's wrong with them.",,,,
Abyssinia Bank,com.boa.boaMobileBanking,8a282ede-a025-46a1-a35b-87f77d3a5901,Firo Abdii,https://play-lh.googleusercontent.com/a-/ALV-UjUBuODC-WVBIFkI3oEQODeZh5gy9TCj6X8J-GykzeDbjAh6ULg,0,24.03.04,2024-05-14 18:16:25,,,24.03.04,5,Thank you,,,,
Abyssinia Bank,com.boa.boaMobileBanking,cab4d0bc-92af-49b3-81d2-bebbb901c005,habtom lamesginew,https://play-lh.googleusercontent.com/a-/ALV-UjUD6wQFmjgaMzSwtnVFcziAuesrGgjsViZHHRw4GAcnl0J4mNXb,1,24.04.23,2024-05-14 00:05:58,,,24.04.23,4,ጥሩ ነዉ,,,,
Abyssinia Bank,com.boa.boaMobileBanking,8c53cb17-ba9a-4604-9d46-19993664a5d3,esmiiz 12,https://play-lh.googleusercontent.com/a/ACg8ocLWz5a-vWYknFa8S9Qts6DgLKsxW2g5XSRKFMtVbTFYpJ9k=mo,0,,2024-05-12 13:30:35,,,,1,So slow app I don't recommend nobody to use its take too much fee,,,,
Abyssinia Bank,com.boa.boaMobileBanking,771ccc21-09d5-4f75-8624-7fab9f7c6aba,Zemete,https://play-lh.googleusercontent.com/a-/ALV-UjVxLfEwKWwWACv7ugNDhJBaXhDhjlwIlzVNUbttM6Ux_BpDKy4N,5,24.04.23,2024-05-12 13:11:23,,,24.04.23,1,The worst banking app i have ever experienced. Too much advertising for a rubbish app. it doesn't work on weekends most of the time. Call center doesn't work. Useless as its Abyssinia bank,,,,
Abyssinia Bank,com.boa.boaMobileBanking,ce832e2f-e4ba-49b3-988f-11d39ada8080,Digafe Alemu,https://play-lh.googleusercontent.com/a-/ALV-UjVk1Gvb-ImZSFq2VfPq3xl1xwvfhLejk2v0nG-6bHXqhgocxVMZ,1,24.03.04,2024-05-11 20:02:02,,,24.03.04,4,Good to use.,,,,
Abyssinia Bank,com.boa.boaMobileBanking,39893b39-7e20-4116-a1c8-a28985be8ea6,Henok Asrat,https://play-lh.googleusercontent.com/a/ACg8ocKsRyUKSt-3yA6Uycv7MyJwoXXY4NULs1-VAeJ0TVyeid9UaA=mo,0,,2024-05-10 18:56:42,,,,4,Good,,,,
Abyssinia Bank,com.boa.boaMobileBanking,121503a1-8356-4e15-86cf-7d6877507b46,eyob berza,https://play-lh.googleusercontent.com/a-/ALV-UjXuwpx-rHHveKjA2ZpAO8YG20S9dFDfPMXFaOvQOTwfP9w38X33,0,24.04.23,2024-05-09 17:15:22,,,24.04.23,2,The worst app,,,,
